#,tenure,tenure_cat,PhoneService,MultipleLines,MonthlyCharges,TotalCharges,Churn
29,72,Cat 8,1,1,90.25,6369.45,No
36,72,Cat 8,1,1,99.9,7251.7,No
60,72,Cat 8,1,1,107.5,7853.7,No
63,72,Cat 8,0,0,42.1,2962,No
95,72,Cat 8,1,1,100.9,7459.05,No
107,72,Cat 8,1,1,104.15,7303.05,No
110,72,Cat 8,1,0,19.4,1363.25,No
128,72,Cat 8,1,1,23.55,1723.95,No
141,72,Cat 8,1,1,88.05,6425.65,No
168,72,Cat 8,1,1,89.05,6254.45,No
194,72,Cat 8,1,1,109.7,8129.3,No
199,72,Cat 8,1,1,112.25,8041.65,No
207,72,Cat 8,0,0,55.45,4179.2,No
217,72,Cat 8,0,0,45.25,3139.8,No
234,72,Cat 8,1,0,20.25,1566.9,No
241,72,Cat 8,1,1,86.6,6350.5,No
242,72,Cat 8,1,1,109.2,7878.3,No
322,72,Cat 8,0,0,60,4264,No
370,72,Cat 8,1,1,112.6,8126.65,No
383,72,Cat 8,0,0,64.8,4732.35,No
406,72,Cat 8,1,0,19.8,1468.75,No
432,72,Cat 8,0,0,65.2,4784.45,No
438,72,Cat 8,1,1,114.05,8468.2,No
450,72,Cat 8,1,0,105.5,7611.55,No
465,72,Cat 8,1,1,116.05,8404.9,No
468,72,Cat 8,1,1,89.7,6588.95,No
484,72,Cat 8,1,1,108.5,8003.8,No
486,72,Cat 8,1,1,84.5,6130.85,No
488,72,Cat 8,1,1,88.6,6201.95,No
527,72,Cat 8,1,1,115.75,8399.15,No
541,72,Cat 8,1,1,113.1,8248.5,No
551,72,Cat 8,1,1,110.3,7966.9,No
552,72,Cat 8,1,1,115.6,8220.4,No
589,72,Cat 8,1,1,99.15,7422.1,No
591,72,Cat 8,1,1,111.9,8071.05,No
606,72,Cat 8,1,1,86.65,6094.25,No
609,72,Cat 8,1,1,114.55,8306.05,No
629,72,Cat 8,1,1,111.65,7943.45,No
633,72,Cat 8,1,1,89.85,6562.9,No
697,72,Cat 8,1,1,85.15,6316.2,No
700,72,Cat 8,1,1,66.5,4811.6,No
715,72,Cat 8,1,1,25.4,1710.9,No
734,72,Cat 8,1,1,79.05,5730.7,No
740,72,Cat 8,1,1,89.85,6697.35,No
746,72,Cat 8,1,1,110.8,7882.25,No
747,72,Cat 8,1,1,114.95,8196.4,No
760,72,Cat 8,1,1,90.35,6563.4,No
764,72,Cat 8,1,1,66.85,4758.8,No
776,72,Cat 8,1,1,110.65,8065.65,No
787,72,Cat 8,1,1,55.3,3983.6,No
790,72,Cat 8,1,1,69.65,4908.25,No
806,72,Cat 8,1,1,76.8,5468.45,No
842,72,Cat 8,1,1,105,7589.8,No
849,72,Cat 8,1,1,92,6782.15,No
850,72,Cat 8,1,1,89.8,6510.45,No
851,72,Cat 8,1,1,115.8,8476.5,No
857,72,Cat 8,1,1,86.05,6309.65,No
860,72,Cat 8,0,0,64.8,4719.75,No
871,72,Cat 8,1,1,98.2,7015.9,No
913,72,Cat 8,1,1,106.1,7848.5,No
915,72,Cat 8,1,1,25.2,1798.9,No
918,72,Cat 8,0,0,65.55,4807.45,No
933,72,Cat 8,1,0,19.3,1304.8,No
944,72,Cat 8,0,0,65.5,4919.7,No
985,72,Cat 8,1,1,23.75,1679.25,No
999,72,Cat 8,1,0,20.7,1492.1,No
1062,72,Cat 8,1,1,112.4,8046.85,No
1136,72,Cat 8,1,1,114.65,8333.95,No
1171,72,Cat 8,1,1,114,8093.15,No
1227,72,Cat 8,1,1,24.65,1830.05,No
1257,72,Cat 8,1,1,85.9,6110.75,No
1278,72,Cat 8,1,0,20.1,1326.25,No
1281,72,Cat 8,1,1,114.85,8317.95,No
1284,72,Cat 8,1,1,105.5,7544,No
1291,72,Cat 8,1,1,84.45,5899.85,No
1301,72,Cat 8,1,1,110.6,7962.2,No
1330,72,Cat 8,1,0,19.4,1496.45,No
1353,72,Cat 8,0,0,60.95,4549.05,No
1364,72,Cat 8,1,1,92,6474.4,No
1378,72,Cat 8,1,1,82.3,5815.15,No
1388,72,Cat 8,1,1,24.3,1643.25,No
1391,72,Cat 8,1,0,68.75,4888.2,No
1482,72,Cat 8,0,0,65.1,4754.3,No
1528,72,Cat 8,1,0,21,1493.75,No
1538,72,Cat 8,1,1,78.95,5730.15,No
1542,72,Cat 8,1,0,19.85,1434.1,No
1567,72,Cat 8,1,0,75.4,5480.25,No
1607,72,Cat 8,1,0,104.1,7447.7,No
1612,72,Cat 8,1,1,90.95,6468.6,No
1642,72,Cat 8,1,1,87.1,6230.1,No
1673,72,Cat 8,1,1,72.1,5016.65,No
1682,72,Cat 8,1,1,25,1849.2,No
1683,72,Cat 8,1,1,85.25,6083.1,No
1694,72,Cat 8,1,1,114.45,8375.05,No
1718,72,Cat 8,1,0,19.7,1421.9,No
1736,72,Cat 8,1,1,114.45,8100.55,No
1747,72,Cat 8,1,1,116.45,8013.55,No
1754,72,Cat 8,1,1,96.6,6827.5,No
1777,72,Cat 8,1,1,25,1802.55,No
1779,72,Cat 8,1,1,24.75,1859.1,No
1794,72,Cat 8,1,1,24.75,1769.6,No
1806,72,Cat 8,1,1,64.45,4720,No
1816,72,Cat 8,1,0,20.5,1502.25,No
1818,72,Cat 8,1,1,98.35,6929.4,No
1825,72,Cat 8,1,0,20.3,1401.15,No
1870,72,Cat 8,1,1,24.1,1734.65,No
1874,72,Cat 8,1,0,70.65,5011.15,No
1876,72,Cat 8,1,1,114.1,8086.4,No
1878,72,Cat 8,1,1,88.55,6362.35,No
1903,72,Cat 8,1,1,90.6,6441.85,No
1912,72,Cat 8,1,1,106.1,7657.4,No
1918,72,Cat 8,1,1,89.1,6352.4,No
1957,72,Cat 8,1,1,101.3,7261.25,No
1974,72,Cat 8,1,0,80.8,5728.55,No
2026,72,Cat 8,1,1,116.85,8477.7,No
2059,72,Cat 8,1,1,86.65,6224.8,No
2081,72,Cat 8,1,1,84.1,5981.65,No
2093,72,Cat 8,1,1,79.55,5810.9,No
2118,72,Cat 8,0,0,64.45,4528,No
2161,72,Cat 8,1,0,83.7,6096.9,No
2178,72,Cat 8,1,1,102.65,7550.3,No
2204,72,Cat 8,1,1,104.9,7537.5,No
2221,72,Cat 8,1,0,79.35,5753.25,No
2241,72,Cat 8,1,1,89.55,6448.85,No
2254,72,Cat 8,1,0,74.4,5360.75,No
2255,72,Cat 8,1,1,93.05,6735.05,No
2268,72,Cat 8,1,1,113.65,8124.2,No
2280,72,Cat 8,1,1,25.1,1789.9,No
2290,72,Cat 8,1,1,107.45,7576.7,No
2294,72,Cat 8,1,1,85.95,6151.9,No
2311,72,Cat 8,0,0,63.7,4464.8,No
2315,72,Cat 8,1,1,93.25,6688.95,No
2327,72,Cat 8,1,1,109.15,7789.6,No
2339,72,Cat 8,1,0,19.95,1322.85,No
2350,72,Cat 8,1,1,90.45,6565.85,No
2369,72,Cat 8,1,1,117.15,8529.5,No
